"id","title","label","latintoponym","pleiades","welchid","golvinid","buildingtype","visibility","chronogroup","secondcentury","capacity","modcountry","romanregion","zotero","amphitheatrum","dimensionsunknown","arenamajor","arenaminor","extmajor","extminor","exteriorheight","longitude","latitude","elevation"
"faleriiNoviAmphitheater","Amphitheater at Falerii Novi","Falerii Novi","Falerii Novi","https://pleiades.stoa.org/places/413125","","146","amphitheater","good","augustan",True,7986,"Italy","regio-vii","","https://amphi-theatrum.de/1545.html",False,54.3,32.7,88,66.4,,12.361043,42.302681,198
"riminiAmphitheater","Amphitheater at Rimini","Rimini","Ariminum","https://pleiades.stoa.org/places/393379","","172","amphitheater","good","hadrianic",True,13967,"Italy","regio-viii","","https://amphi-theatrum.de/1404.html",False,73.76,42.52,117.72,88.08,,12.575144,44.060057,5
"imolaAmphitheater","Amphitheater at Imola","Imola","Forum Cornelii","https://pleiades.stoa.org/places/393424","","56","amphitheater","none","imperial",True,11914,"Italy","regio-viii","","",False,67,40,108,81,,11.711992,44.353673,53
"venosaAmphitheater","Amphitheater at Venosa","Venosa","Venusia","https://pleiades.stoa.org/places/442847","","","amphitheater","none","imperial",True,10602,"Italy","regio-ii","","https://amphi-theatrum.de/1517.html",False,58,37,98,77,,15.826303,40.969693,402
"teramoAmphitheater","Amphitheater at Teramo","Teramo","Interamnia Praetuttiorum","https://pleiades.stoa.org/places/413179","","57","amphitheater","partial","imperial",True,,"Italy","regio-v","","https://amphi-theatrum.de/1406.html",False,,,73.93,56.16,,13.703278,42.658183,273
"velleiaAmphitheater","Amphitheater at Velleia","Velleia","Veleia","https://pleiades.stoa.org/places/383811","","14","amphitheater","good","julio-claudian",True,2901,"Italy","regio-viii","","https://amphi-theatrum.de/1479.html",False,37,25.5,54.85,44.1,,9.723475,44.785084,476
"ordonaAmphitheater","Amphitheater at Ordona","Ordona","Herdoniae","https://pleiades.stoa.org/places/442613","","26","amphitheater","good","first-century",True,6318,"Italy","regio-ii","","https://amphi-theatrum.de/1488.html",False,44.6,28.4,74.5,59.4,,15.6231,41.3105,127
"bevagnaAmphitheater","Amphitheater at Bevagna","Bevagna","Mevania","https://pleiades.stoa.org/places/413200","","","amphitheater","poor","first-century",True,6251,"Italy","regio-vi","","https://amphi-theatrum.de/1596.html",False,44,24,80,53,,12.615587,42.936903,215
"minturnaeAmphitheater","Amphitheater at Minturno","Minturno","Minturnae","https://pleiades.stoa.org/places/432940","","","amphitheater","poor","first-century",True,,"Italy","regio-i","","https://amphi-theatrum.de/1591.html",False,,,130,,,13.763859,41.241734,10
"sinuessaAmphitheater","Amphitheater at Sinuessa","Sinuessa","Sinuessa","https://pleiades.stoa.org/places/433122","","274","amphitheater","none","imperial",True,,"Italy","regio-i","","",False,,,80,45,,13.846372,41.153584,5
"geyreAmphitheater","Late Roman Amphitheater at Geyre (Aphrodisias)","Geyre (Aphrodisias)","Aphrodisias","https://pleiades.stoa.org/places/638753","","","arena-in-stadium","good","fourth-century",False,,"Turkey","asia","KNXG4VJN","https://amphi-theatrum.de/2654.html",False,59,30,,,,28.723061,37.712553,526
"djerbaAmphitheater","Djerba Amphitheater","Djerba","Meninge","https://pleiades.stoa.org/places/344439","","","amphitheater","good","imperial",True,,"Tunisia","proconsularis","","https://amphi-theatrum.de/1324.html",False,,,68,,,10.913907,33.685822,1
"zagaroloLudus","Zagarolo Ludus","Zagarolo","","https://pleiades.stoa.org/places/423086","","","practice-arena","good","imperial",False,,"Italy","regio-i","","https://amphi-theatrum.de/2089.html",False,,,40,,,12.819255,41.858402,275
"tusculumAmphitheater","Tusculum Amphitheater","Tusculum","Tusculum","https://pleiades.stoa.org/places/423108","","184","amphitheater","none","second-century",True,4853,"Italy","regio-i","","https://amphi-theatrum.de/1423.html",False,49,30,73,54,,12.702103,41.798372,582
"forumNovumAmphitheater","Forum Novum Amphitheater","Forum Novum","Forum Novum","https://pleiades.stoa.org/places/413148","","","amphitheater","none","first-century",True,2000,"Italy","regio-iv","HKRAD2P6","",False,45,25,,,,12.603363,42.329875,137
"todiAmphitheater","Todi Amphitheater","Todi","Tuder","https://pleiades.stoa.org/places/413354","","","amphitheater","street-plan","imperial",True,,"Italy","regio-vi","","https://amphi-theatrum.de/1400.html",False,,,90,60,,12.413528,42.778653,330
"terniAmphitheater","Terni Amphitheater","Terni","Interamna Nahars","https://pleiades.stoa.org/places/413178","","144","amphitheater","good","first-century",True,10890,"Italy","regio-vi","","https://amphi-theatrum.de/1401.html",False,65,36,95,73,,12.64336,42.559785,240
"spoletoAmphitheater","Spoleto Amphitheater","Spoleto","Spoletium","https://pleiades.stoa.org/places/413320","","86","amphitheater","good","first-century",True,,"Italy","regio-vi","","https://amphi-theatrum.de/2681.html",False,,,115,85,,12.738992,42.738427,327
"aquaeNeriAmphitheater","Aquae Neri Amphitheater","Aquae Neri","Neriomagus","https://pleiades.stoa.org/places/138185","","20","amphitheater","good","first-century",True,3926,"France","aquitania","","",False,50,30,70,50,,2.658224,46.289891,489
"aureliumCommodianumAmphitheater","Aurelium Commodianum Amphitheater","Aurelium Commodianum","Aurelium Commodianum","https://pleiades.stoa.org/places/315084","","","amphitheater","good","second-century",True,,"Tunisia","proconsularis","","https://amphi-theatrum.de/1356.html",False,,,65,55,,9.889218,36.527797,205
"jebelMorabaAmphitheater","Jebel Moraba Amphitheater","Jebel Moraba","","https://pleiades.stoa.org/places/208942158","","","amphitheater","good","imperial",True,,"Tunisia","proconsularis","","https://amphi-theatrum.de/1317.html",False,,,61,,,9.860836,36.597655,311
"faleroneAmphitheater","Falerone Amphitheater","Falerone","Falerio","https://pleiades.stoa.org/places/413127","","99","amphitheater","poor","julio-claudian",True,,"Italy","regio-v","","https://amphi-theatrum.de/1525.html",False,,,88.8,80,,13.495903,43.101106,222
